requirement	raw_artefact	raw_value_observed	verification_command	pass
Source pushed to origin main	g6-git/source-push.log	ancestor_check=PASS and source commit e140800a7223139ab6fb5ba7319c6e1976ad69ea	grep -F 'ancestor_check=PASS' evidence/W28A-745/current/g6-git/source-push.log	PASS
Docker image pushed	g6-git/docker-push.log	digest sha256:25fba52d73c2b369e526f551881fb506945323d22694b5c15cb14ac7ef1f8e11	grep -F 'sha256:25fba52d73c2b369e526f551881fb506945323d22694b5c15cb14ac7ef1f8e11' evidence/W28A-745/current/g6-git/docker-push.log	PASS
Targeted Terraform deploy	g7-deploy/terraform-targeted-apply.log	Apply complete; gitmcpserver0 target in plan/apply	grep -F 'Apply complete!' evidence/W28A-745/current/g7-deploy/terraform-targeted-apply.log && grep -F 'docker_container.gitmcpserver0' evidence/W28A-745/current/g7-deploy/terraform-targeted-apply.log	PASS
Live preprod health	g8-live/live-current-pass.log	health, api/v1/health, mcp/health, a2a/health all http_code=200	grep -E '/health -> http_code=200|/api/v1/health -> http_code=200|/mcp/health -> http_code=200|/a2a/health -> http_code=200' evidence/W28A-745/current/g8-live/live-current-pass.log	PASS
Drift proof latest digest	g8-live/live-current-pass.log	registry_latest_digest=sha256:25fba52d73c2b369e526f551881fb506945323d22694b5c15cb14ac7ef1f8e11 and digest_match=PASS	grep -F 'digest_match=PASS' evidence/W28A-745/current/g8-live/live-current-pass.log	PASS
Live MCP authenticated functionality	g8-live/live-mcp-current-pass.log	tools_list_http_code=200; admin_api_key_list_http_code=200	grep -F 'tools_list_http_code=200' evidence/W28A-745/current/g8-live/live-mcp-current-pass.log && grep -F 'admin_api_key_list_http_code=200' evidence/W28A-745/current/g8-live/live-mcp-current-pass.log	PASS
Live MCP audit emitted	g8-live/live-mcp-current-pass.log	19 /app/data/git-mcp-tool-audit.jsonl; event git_mcp.admin_api_key_list outcome success	grep -F '19 /app/data/git-mcp-tool-audit.jsonl' evidence/W28A-745/current/g8-live/live-mcp-current-pass.log && grep -F 'git_mcp.admin_api_key_list' evidence/W28A-745/current/g8-live/live-mcp-current-pass.log	PASS
Browser smoke target and four sentinels	g8-live/browser-smoke-current/browser-smoke-current.tsv	5 rows PASS, signed-in, console_errors=0, critical_request_failures=0	awk -F'\t' 'NR>1 && ($6!="signed-in" || $7!="0" || $8!="0" || $10!="PASS"){bad=1} END{exit bad}' evidence/W28A-745/current/g8-live/browser-smoke-current/browser-smoke-current.tsv	PASS
Sibling service health	g8-live/estate/preprod-health-current.tsv	9 services http 200 PASS including four sentinels and four siblings	awk -F'\t' 'NR>1 && ($3!="200" || $5!="PASS"){bad=1} END{exit bad}' evidence/W28A-745/current/g8-live/estate/preprod-health-current.tsv	PASS
Vault IaC parity read only	vault-iac-parity/vault-iac-parity-summary.tsv	Vault refs exactly web_password,web_username; both present; write count 0	awk -F'\t' 'NR>1 && $4!="PASS"{bad=1} END{exit bad}' evidence/W28A-745/current/vault-iac-parity/vault-iac-parity-summary.tsv	PASS
Coordinator-owned state not mutated	touched-paths-manifest.tsv	created_or_modified_by_lane values are YES only for git-mcp repo paths	awk -F'\t' 'NR>1 && $2!="git-mcp-server"{bad=1} END{exit bad}' evidence/W28A-745/current/touched-paths-manifest.tsv	PASS
Scoped status clean proof	scoped-clean-proof.txt	required scoped git commands recorded	grep -F 'git status --short --' evidence/W28A-745/current/scoped-clean-proof.txt && grep -F 'git diff --name-only --' evidence/W28A-745/current/scoped-clean-proof.txt && grep -F 'git diff --cached --name-only --' evidence/W28A-745/current/scoped-clean-proof.txt	PASS
Remote tag proof	remote-proof.txt	EVIDENCE_TAG W28A-745-EVIDENCE; FINAL_PROOF_TAG W28A-745-FINAL-PROOF	grep -F 'EVIDENCE_TAG: W28A-745-EVIDENCE' evidence/W28A-745/current/remote-proof.txt && grep -F 'FINAL_PROOF_TAG: W28A-745-FINAL-PROOF' evidence/W28A-745/current/remote-proof.txt	PASS
Checksums verify	CHECKSUMS.verify.txt	CHECKSUMS.sha256 OK entries recorded	grep -F ': OK' evidence/W28A-745/current/CHECKSUMS.verify.txt	PASS
Platform validator lane instruction wrapper	cloud-dog-ai-platform-standards/working/instructions/W28A-745-GIT-MCP-THREAD-B-CONSUMER-R5-2026-06-12.md	lookup count for W28A-745*.md is 1; platform-standards commit 96da4c28	find /opt/iac/Development/cloud-dog-ai/cloud-dog-ai-platform-standards/working/instructions -maxdepth 1 -type f -name 'W28A-745*.md' -print | wc -l	PASS
Close gate and self rejection	evidence/W28A-745/current/FINAL-PROOF.md	HAVE_ALL_REQUIREMENTS_BEEN_MET: YES and CONTRACT EVIDENCE SELF-REJECTION GATE all PASS	grep -F 'HAVE_ALL_REQUIREMENTS_BEEN_MET: YES' evidence/W28A-745/current/FINAL-PROOF.md && grep -F 'CONTRACT EVIDENCE SELF-REJECTION GATE' evidence/W28A-745/current/FINAL-PROOF.md	PASS
